States,First Dose,Second Dose,60% On,70% On,80% On,90% On
AUS,76.10%,51.80%,,,4-Oct-21,22-Oct-21
,,,9-Oct-21,24-Oct-21,7-Nov-21,22-Nov-21
NSW,85.70%,60.40%,,,,7-Oct-21
,,,,7-Oct-21,16-Oct-21,25-Oct-21
VIC,77.90%,47.70%,,,30-Sep-21,13-Oct-21
,,,21-Oct-21,10-Nov-21,29-Nov-21,18-Dec-21
QLD,64.10%,45.10%,,8-Oct-21,27-Oct-21,14-Nov-21
,,,28-Oct-21,18-Nov-21,9-Dec-21,30-Dec-21
WA ,63.60%,45.10%,,11-Oct-21,31-Oct-21,20-Nov-21
,,,30-Oct-21,21-Nov-21,12-Dec-21,3-Jan-22
SA ,66.10%,47.80%,,6-Oct-21,27-Oct-21,17-Nov-21
,,,21-Oct-21,8-Nov-21,27-Nov-21,16-Dec-21
TAS,74.90%,56.60%,,,8-Oct-21,28-Oct-21
,,,3-Oct-21,18-Oct-21,3-Nov-21,19-Nov-21
ACT,87.60%,61.50%,,,,30-Sep-21
,,,,9-Oct-21,23-Oct-21,5-Nov-21
NT ,65.20%,51.10%,,12-Oct-21,12-Nov-21,13-Dec-21
,,,16-Oct-21,7-Nov-21,28-Nov-21,19-Dec-21
